Date,Barcode,OnPromotion,Quantity,ReturnedQuantity,Discount,Increase,TotalValue,UnitValue,CostValue,Holiday
2019-01-01,7896279600538,0,0.0,0.0,0.0,0.0,0.0,3.29,2.68,0
2019-01-02,7896279600538,0,111.0,0.0,0.473,0.0,365.19,3.29,2.68,0
2019-01-03,7896279600538,0,63.0,0.0,0.883,0.0,207.27,3.29,2.68,0
2019-01-04,7896279600538,0,127.0,0.0,0.573,0.0,417.83,3.29,2.68,0
2019-01-05,7896279600538,0,93.0,0.0,0.596,0.0,305.97,3.29,2.68,0
2019-01-06,7896279600538,0,28.0,0.0,0.743,0.0,92.12,3.29,2.68,0
2019-01-07,7896279600538,0,98.0,0.0,0.659,0.0,322.42,3.29,2.68,0
2019-01-08,7896279600538,0,155.0,0.0,0.711,0.0,509.95,3.29,2.68,0
2019-01-09,7896279600538,0,78.0,0.0,1.036,0.0,254.28,3.26,2.68,0
2019-01-10,7896279600538,0,145.0,0.0,0.383,0.0,477.05,3.29,2.68,0
2019-01-11,7896279600538,0,76.0,0.0,0.908,0.0,250.04,3.29,2.68,0
2019-01-12,7896279600538,0,141.0,0.0,0.494,0.0,463.89,3.29,2.68,0
2019-01-13,7896279600538,0,19.0,0.0,1.128,0.0,61.18,3.22,2.68,0
2019-01-14,7896279600538,0,35.0,0.0,0.609,0.0,115.15,3.29,2.68,0
2019-01-15,7896279600538,0,49.0,0.0,0.589,0.0,161.21,3.29,2.68,0
2019-01-16,7896279600538,0,70.0,0.0,0.593,0.0,230.3,3.29,2.68,0
2019-01-17,7896279600538,0,54.0,0.0,0.721,0.0,177.66,3.29,2.68,0
2019-01-18,7896279600538,0,53.0,0.0,0.829,0.0,174.37,3.29,2.68,0
2019-01-19,7896279600538,0,78.0,0.0,0.671,0.0,256.62,3.29,2.68,0
2019-01-20,7896279600538,0,22.0,0.0,1.022,0.0,71.72,3.26,2.68,0
2019-01-21,7896279600538,0,56.0,0.0,0.648,0.0,184.24,3.29,2.68,0
2019-01-22,7896279600538,0,65.0,0.0,0.676,0.0,213.85,3.29,2.68,0
2019-01-23,7896279600538,0,47.0,0.0,0.358,0.0,154.63,3.29,2.68,0
2019-01-24,7896279600538,0,46.0,0.0,1.076,0.0,148.58,3.23,2.68,0
2019-01-25,7896279600538,0,69.0,0.0,0.73,0.0,227.01,3.29,2.68,0
2019-01-26,7896279600538,0,66.0,0.0,0.568,0.0,217.14,3.29,2.68,0
2019-01-27,7896279600538,0,14.0,0.0,0.698,0.0,46.06,3.29,2.68,0
2019-01-28,7896279600538,0,81.0,0.0,0.165,0.0,266.49,3.29,2.68,0
