Date,Barcode,OnPromotion,Quantity,ReturnedQuantity,Discount,Increase,TotalValue,UnitValue,CostValue,Holiday
2019-01-02,7891149103300,0,54.0,0.0,0.502,0.0,107.46,1.99,3.043,0
2019-01-03,7891149103300,0,38.0,0.0,1.005,0.0,74.86,1.97,3.043,0
2019-01-04,7891149103300,0,67.0,0.0,0.0,0.0,133.33,1.99,3.043,0
2019-01-05,7891149103300,0,108.0,0.0,0.0,0.0,214.92,1.99,3.043,0
2019-01-06,7891149103300,0,14.0,0.0,0.0,0.0,27.86,1.99,3.043,0
2019-01-07,7891149103300,0,41.0,0.0,0.402,0.0,81.59,1.99,3.043,0
2019-01-08,7891149103300,0,25.0,0.0,0.67,0.0,49.75,1.99,3.043,0
2019-01-09,7891149103300,0,2.0,0.0,0.0,0.0,3.98,1.99,3.043,0
2019-01-10,7891149103300,0,62.0,0.0,0.402,0.0,123.38,1.99,3.043,0
2019-01-11,7891149103300,0,106.0,0.0,0.0,0.0,210.94,1.99,3.043,0
2019-01-12,7891149103300,0,258.0,0.0,0.24,0.0,513.42,1.99,3.043,0
2019-01-13,7891149103300,0,43.0,0.0,0.67,0.0,85.57,1.99,3.043,0
2019-01-14,7891149103300,0,23.0,0.0,0.0,0.0,45.77,1.99,3.043,0
2019-01-15,7891149103300,0,35.0,0.0,0.574,0.0,69.65,1.99,3.043,0
2019-01-16,7891149103300,0,11.0,0.0,0.0,0.0,21.89,1.99,3.043,0
2019-01-17,7891149103300,0,79.0,0.0,0.0,0.0,157.21,1.99,3.043,0
2019-01-18,7891149103300,0,48.0,0.0,0.67,0.0,95.52,1.99,3.043,0
2019-01-19,7891149103300,0,26.0,0.0,0.0,0.0,51.74,1.99,3.043,0
2019-01-20,7891149103300,0,33.0,0.0,0.0,0.0,65.67,1.99,3.043,0
2019-01-21,7891149103300,0,39.0,0.0,0.67,0.0,77.61,1.99,3.043,0
2019-01-22,7891149103300,0,106.0,0.0,0.0,0.0,210.94,1.99,3.043,0
2019-01-23,7891149103300,0,115.0,0.0,0.223,0.0,228.85,1.99,3.043,0
2019-01-24,7891149103300,0,0.0,0.0,0.0,0.0,0.0,1.99,3.043,0
2019-01-25,7891149103300,0,49.0,0.0,0.0,0.0,97.51,1.99,3.043,0
2019-01-26,7891149103300,0,177.0,0.0,0.548,0.0,352.23,1.99,3.043,0
2019-01-27,7891149103300,0,49.0,0.0,0.402,0.0,97.51,1.99,3.043,0
2019-01-28,7891149103300,0,35.0,0.0,0.0,0.0,69.65,1.99,3.043,0
2019-01-29,7891149103300,0,6.0,0.0,0.0,0.0,11.94,1.99,3.043,0
2019-01-30,7891149103300,0,35.0,0.0,0.0,0.0,69.65,1.99,3.043,0
2019-01-31,7891149103300,0,0.0,0.0,0.0,0.0,0.0,1.99,3.043,0
2019-02-01,7891149103300,0,13.0,0.0,0.0,0.0,25.87,1.99,3.043,0
2019-02-02,7891149103300,0,117.0,0.0,0.212,0.0,232.83,1.99,3.043,0
2019-02-03,7891149103300,0,17.0,0.0,0.502,0.0,33.83,1.99,3.043,0
2019-02-04,7891149103300,0,23.0,0.0,0.0,0.0,45.77,1.99,3.043,0
2019-02-05,7891149103300,0,3.0,0.0,0.0,0.0,5.97,1.99,3.043,0
2019-02-06,7891149103300,0,4.0,0.0,0.0,0.0,7.96,1.99,3.043,0
2019-02-07,7891149103300,0,47.0,0.0,0.287,0.0,93.53,1.99,3.043,0
2019-02-08,7891149103300,0,127.0,0.0,0.499,0.0,252.73,1.99,3.043,0
2019-02-09,7891149103300,0,98.0,0.0,0.667,0.0,195.02,1.99,3.043,0
2019-02-10,7891149103300,0,67.0,0.0,0.402,0.0,133.33,1.99,3.043,0
2019-02-11,7891149103300,0,2.0,0.0,0.0,0.0,3.98,1.99,3.043,0
2019-02-12,7891149103300,0,21.0,0.0,0.0,0.0,41.79,1.99,3.043,0
2019-02-13,7891149103300,0,0.0,0.0,0.0,0.0,0.0,1.99,3.043,0
2019-02-14,7891149103300,0,47.0,0.0,0.0,0.0,93.53,1.99,3.043,0
2019-02-15,7891149103300,0,43.0,0.0,0.287,0.0,85.57,1.99,3.043,0
2019-02-16,7891149103300,0,25.0,0.0,0.0,0.0,49.75,1.99,1.242,0
2019-02-17,7891149103300,0,63.0,0.0,0.657,0.0,125.37,1.99,1.242,0
2019-02-18,7891149103300,0,20.0,0.0,0.0,0.0,39.8,1.99,1.242,0
2019-02-19,7891149103300,0,27.0,0.0,0.0,0.0,53.73,1.99,1.242,0
2019-02-20,7891149103300,0,26.0,0.0,0.0,0.0,51.74,1.99,1.242,0
2019-02-21,7891149103300,0,97.0,0.0,0.0,0.0,193.03,1.99,1.242,0
2019-02-22,7891149103300,0,31.0,0.0,0.804,0.0,61.69,1.99,1.245,0
2019-02-23,7891149103300,0,129.0,0.0,0.0,0.0,256.71,1.99,1.245,0
2019-02-24,7891149103300,0,6.0,0.0,0.0,0.0,11.94,1.99,1.245,0
2019-02-25,7891149103300,0,0.0,0.0,0.0,0.0,0.0,1.99,1.245,0
2019-02-26,7891149103300,0,3.0,0.0,0.0,0.0,5.97,1.99,1.245,0
2019-02-27,7891149103300,0,0.0,0.0,0.0,0.0,0.0,1.99,1.245,0
2019-02-28,7891149103300,0,0.0,0.0,0.0,0.0,0.0,1.99,1.245,0
2019-03-01,7891149103300,0,42.0,0.0,0.0,0.0,83.58,1.99,1.245,0
2019-03-02,7891149103300,0,186.0,0.0,0.185,0.0,351.54,1.89,0.935,0
2019-03-03,7891149103300,0,91.0,0.0,0.447,0.0,171.99,1.89,0.935,0
2019-03-04,7891149103300,0,27.0,0.0,0.99,0.0,50.49,1.87,0.935,0
2019-03-05,7891149103300,0,0.0,0.0,0.0,0.0,0.0,1.87,0.935,0
2019-03-06,7891149103300,0,1.0,0.0,0.0,0.0,1.89,1.89,0.935,0
2019-03-07,7891149103300,0,3.0,0.0,0.0,0.0,5.67,1.89,0.938,0
2019-03-08,7891149103300,1,384.0,0.0,0.1,0.0,610.56,1.59,0.94,0
2019-03-09,7891149103300,1,885.0,0.0,0.195,0.0,1407.15,1.59,0.94,0
2019-03-10,7891149103300,0,83.0,0.0,0.0,0.0,156.87,1.89,0.935,0
